TIME,CH0,CH1,
14:45:28:942,21.599998,200.000000,
14:45:29,236.412582,0.000000,
14:45:38:948,21.599998,200.000000,
14:45:39,224.629089,0.000000,
14:45:48:943,21.599998,200.000000,
14:45:49,214.218216,0.000000,
14:45:58:895,21.599998,200.000000,
14:45:59,204.122360,0.000000,
14:46:08:842,21.599998,200.000000,
14:46:08,194.476517,0.000000,
14:46:19:103,21.599998,200.000000,
14:46:19,184.598175,0.000000,
14:46:28:944,21.599998,200.000000,
14:46:29,175.912460,0.000000,
14:46:38:949,21.599998,200.000000,
14:46:39,167.504242,0.000000,
14:46:48:944,21.599998,200.000000,
14:46:49,159.418549,0.000000,
14:46:58:942,21.599998,200.000000,
14:46:59,151.415359,0.000000,
14:47:08:945,21.599998,200.000000,
14:47:09,143.809738,0.000000,
14:47:18:943,21.599998,200.000000,
14:47:19,136.811615,0.000000,
14:47:28:892,21.599998,200.000000,
14:47:29,130.098557,0.000000,
14:47:38:893,21.599998,200.000000,
14:47:39,123.543007,0.000000,
14:47:48:900,21.599998,200.000000,
14:47:49,117.422478,0.000000,
14:47:59:097,21.599998,200.000000,
14:47:59,111.609489,0.000000,
14:48:08:944,21.599998,200.000000,
14:48:09,106.141525,0.000000,
14:48:18:892,21.599998,200.000000,
14:48:19,100.928574,0.000000,
14:48:28:895,21.599998,200.000000,
14:48:29,95.730652,0.000000,
14:48:39:100,21.599998,200.000000,
14:48:39,91.087738,0.000000,
14:48:48:846,21.599998,200.000000,
14:48:48,86.707375,0.000000,
14:48:58:947,21.599998,200.000000,
14:48:59,82.634537,0.000000,
14:49:08:946,21.599998,200.000000,
14:49:09,78.471672,0.000000,
14:49:19:049,21.500000,200.000000,
14:49:19,74.601334,0.000000,
14:49:28:845,21.599998,200.000000,
14:49:28,71.023537,0.000000,
14:49:38:893,21.599998,200.000000,
14:49:39,67.678261,0.000000,
14:49:48:947,21.599998,200.000000,
14:49:49,64.505486,0.000000,
14:49:58:843,21.599998,200.000000,
14:49:59,61.205212,0.000000,
14:50:08:893,21.599998,200.000000,
14:50:08,58.362457,0.000000,
14:50:18:895,21.599998,200.000000,
14:50:19,55.639732,0.000000,
14:50:28:898,21.599998,200.000000,
14:50:29,53.052010,0.000000,
14:50:38:942,21.599998,200.000000,
14:50:39,50.426785,0.000000,
14:50:48:946,21.500000,200.000000,
14:50:49,48.109093,0.000000,
14:50:59:052,21.500000,200.000000,
14:50:59,45.941406,0.000000,
14:51:08:898,21.500000,200.000000,
14:51:09,43.886234,0.000000,
14:51:18:950,21.599998,200.000000,
14:51:19,41.816059,0.000000,
14:51:28:947,21.500000,200.000000,
14:51:29,39.903393,0.000000,
14:51:38:943,21.500000,200.000000,
14:51:39,38.140743,0.000000,
14:51:48:898,21.599998,200.000000,
14:51:49,36.453098,0.000000,
14:51:58:914,21.599998,200.000000,
14:51:59,34.690449,0.000000,
14:52:08:848,21.599998,200.000000,
14:52:08,33.227829,0.000000,
14:52:18:840,21.599998,200.000000,
14:52:19,31.817701,0.000000,
14:52:28:949,21.500000,200.000000,
14:52:29,30.437588,0.000000,
14:52:39:102,21.500000,200.000000,
14:52:39,29.049971,0.000000,
14:52:48:892,21.500000,200.000000,
14:52:49,27.767363,0.000000,
14:52:58:850,21.500000,200.000000,
14:52:59,26.657267,0.000000,
14:53:08:893,21.500000,200.000000,
14:53:09,25.524670,0.000000,
14:53:19:002,21.500000,200.000000,
14:53:19,24.467081,0.000000,
14:53:28:950,21.500000,200.000000,
14:53:29,23.461992,0.000000,
14:53:38:995,21.599998,200.000000,
